营销名Marketing name,项目代码 、Project No.,机型名 Model,版本号Version NO.,适用范围/Region,链接、link
realme 8i,21691,RMX3151,RMX3151export_11_F.14_2024062021460079.zip,PH,https://rms01.realme.net/sw/RMX3151export_11_F.14_2024062021460079.zip
realme 8i,21692,RMX3151,RMX3151export_11_F.14_2024062021340082.zip,RU、MX,https://rms01.realme.net/sw/RMX3151export_11_F.14_2024062021340082.zip
realme 8i,21690,RMX3151,RMX3151export_11_F.14_2024062021220082.zip,ID,https://rms01.realme.net/sw/RMX3151export_11_F.14_2024062021220082.zip
realme 8i,21690,RMX3151,RMX3151export_11_C.16_2022120818210166,、IN、ID、NP,https://rms01.realme.net/sw/RMX3151export_11_C.16_2022120818210166.zip
realme X7,206B7,RMX3092,RMX3092export_11_F.09_2022120316420000,、IN,https://rms01.realme.net/sw/RMX3092export_11_F.09_2022120316420000.zip
realme 8,20732,RMX3085,RMX3085GDPR_11_F.10_2024011515330000.zip,EU,https://rms01.realme.net/sw/RMX3085GDPR_11_F.10_2024011515330000.zip
realme 8,20731,RMX3085,RMX3085export_11_F.14_2025020710540146.zip,"TH,PH,VN",https://rms01.realme.net/sw/RMX3085export_11_F.14_2025020710540146.zip
realme 8,20730,RMX3085,RMX3085export_11_F.14_2025020710500154.zip,LK,https://rms01.realme.net/sw/RMX3085export_11_F.14_2025020710500154.zip
realme 8,20732,RMX3085,RMX3085export_11_F.10_2024011515350000.zip,UZ、KZ,https://rms01.realme.net/sw/RMX3085export_11_F.10_2024011515350000.zip
realme 8,20731,RMX3085,RMX3085export_11_F.10_2024011515340000.zip,EG、TH、MA、VN、IQ、PH、KH,https://rms01.realme.net/sw/RMX3085export_11_F.10_2024011515340000.zip
realme 8,20730,RMX3085,RMX3085export_11_F.10_2024011515320109.zip,MM、NP、IN、PK、LK,https://rms01.realme.net/sw/RMX3085export_11_F.10_2024011515320109.zip
realme 8,20732,RMX3085,RMX3085export_11_F.07_2023090618370000.zip,RU、ID,https://rms01.realme.net/sw/RMX3085export_11_F.07_2023090618370000.zip
realme 8,20732,RMX3085,RMX3085export_11_C.14_2022112523020000,、RU、KZ、UZ、ID,https://rms01.realme.net/sw/RMX3085export_11_C.14_2022112523020000.zip
realme 8,20731,RMX3085,RMX3085export_11_C.14_2022112523010000,、VN、TH、KH、PH、EG、AE、MA、IQ,https://rms01.realme.net/sw/RMX3085export_11_C.14_2022112523010000.zip
realme 8,20730,RMX3085,RMX3085export_11_C.14_2022112522590000,、LK、NP、IN、MM、BD、PK、,https://rms01.realme.net/sw/RMX3085export_11_C.14_2022112522590000.zip
realme 8 Pro,20713,RMX3081,RMX3081GDPR_11_F.10_2024042517520000.zip,EU,https://rms01.realme.net/sw/RMX3081GDPR_11_F.10_2024042517520000.zip
realme 8 Pro,20713,RMX3081,RMX3081export_11_F.10_2024042517510000.zip,RU、ID、BR,https://rms01.realme.net/sw/RMX3081export_11_F.10_2024042517510000.zip
realme 8 Pro,20712,RMX3081,RMX3081export_11_F.10_2024042517500000.zip,IQ、EG、KH、PH、VN、MY,https://rms01.realme.net/sw/RMX3081export_11_F.10_2024042517500000.zip
realme 8 Pro,20711,RMX3081,RMX3081export_11_F.10_2024042517490000.zip,MM、IN、BD、PK,https://rms01.realme.net/sw/RMX3081export_11_F.10_2024042517490000.zip
realme 8 Pro,20714,RMX3081,RMX3081export_11_F.10_2024042517480094.zip,MX、BO,https://rms01.realme.net/sw/RMX3081export_11_F.10_2024042517480094.zip
realme C20vodafone,2074B/2074D/2047E/20752/2074F,RMX3061/RMX3063,RMX3061VDF_11_A.14_210806_881eccb1,BY、AU、UA，、RU、BA、EU、UK、FR,https://rms01.realme.net/sw/RMX3061VDF_11_A.14_210806_881eccb1.zip
realme C20,20701,RMX3061&RMX3063,RMX3061PU_11_A.67_221215_50b67edd,、IN、VN、ID、RU、LK、BD,https://rms01.realme.net/sw/RMX3061PU_11_A.67_221215_50b67edd.zip
realme C20,2074B/2074D/2047E/20752/2074F,RMX3061/RMX3063,RMX3061PU_11_A.41_210725_1fc050f2,IN、SG、TW、ID、TH、PH、MY、VN、BD、PK、MM、LK、RU、EG、AU,https://rms01.realme.net/sw/RMX3061PU_11_A.41_210725_1fc050f2.zip
realme C21,2074C,RMX3203,RMX3061MX_11_A.14_221215_50b67edd,、MX,https://rms01.realme.net/sw/RMX3061MX_11_A.14_221215_50b67edd.zip
realme C21,2074C,RMX3203,RMX3061MX_11_A.11_220727_0db27258,、MX Telcel,https://rms01.realme.net/sw/RMX3061MX_11_A.11_220727_0db27258.zip
realme C20MX telcel,2074B/2074D/2047E/20752/2074F,RMX3061/RMX3063,RMX3061MX_11_A.06_211112_8284753,MX,https://rms01.realme.net/sw/RMX3061MX_11_A.06_211112_8284753a.zip
realme C20,2074B/2074D/2047E/20752/2074F,RMX3061/RMX3063,RMX3061EU_11_A.44_210813_881eccb1,TR,https://rms01.realme.net/sw/RMX3061EU_11_A.44_210813_881eccb1.zip
realme C20/ realme C21,20701/20703/20720/20722/20791/2074B/2074D/2047E/20752/2074F,RMX3061/RMX3063/RMX3201/ RMX3202,RMX3061_11_A.25_210304_75808d66,"TH,PH,MY,VN,BD,PK,MM,LK,RU,IN,ID,SG,SR,BA,ME,MK",https://rms01.realme.net/sw/RMX3061PU_11_A.25_210304_75808d66.zip
realme GT 5G,20664,RMX2202,RMX2202GDPR_11_14.0.0.1700EX01_2025030421390161.zip,EU,https://rms01.realme.net/sw/RMX2202GDPR_11_14.0.0.1700EX01_2025030421390161.zip
realme GT 5G,20664,RMX2202,RMX2202export_11_14.0.0.1700EX01_2025030421520156.zip,"TH,RU,IN,CN:TW",https://rms01.realme.net/sw/RMX2202export_11_14.0.0.1700EX01_2025030421520156.zip
realme GT 5G,20664,RMX2202,RMX2202export_11_13.1.0.1810EX01_2023121818500110.zip,IN,https://rms01.realme.net/sw/RMX2202export_11_13.1.0.1810EX01_2023121818500110.zip
realme C15 Qualcomm Edition,206BF,RMX2195,RMX2195export_11_C.12_2022030606400000,、MY、MA、AE、KH、IL、EG、SG、PH、KZ,https://rms01.realme.net/SW/realme%20service/realme%20C15%20Qualcomm%20Edition/206BF/RMX2195export_11_C.12_2022030606400000.zip
realme C15 Qualcomm Edition,206BD,RMX2195,RMX2195export_11_C.12_2022030606390268,、MM、LK、PK、IN、ID、NP、BD,https://rms01.realme.net/SW/realme%20service/realme%20C15%20Qualcomm%20Edition/206BD/RMX2195export_11_C.12_2022030606390268.zip
realme C15 Qualcomm Edition,206C0,RMX2194,RMX2194export_11_C.12_2022030606410000,、VN,https://rms01.realme.net/SW/realme%20service/realme%20C15%20Qualcomm%20Edition/206C0/RMX2194export_11_C.12_2022030606410000.zip
realme 7i/realme Narzo 20,206A0,RMX2193,RMX2193GDPR_11_C.20_2022110321510000,、IT、GR、ES、SI、FR、CZ、BG、AT,https://rms01.realme.net/sw/RMX2193GDPR_11_C.20_2022110321510000.zip
realme 7i/realme Narzo 20,206A0,RMX2193,RMX2193GDPR_11_C.17_2022060710400000,、GRC、SVN、FR、IT、AUT、BG、CZ、ES、PE,https://rms01.realme.net/SW/realme%20service/realme%20Narzo%2020/206A0/RMX2193GDPR_11_C.17_2022060710400000.7z、
realme narzo 20,206A0,RMX2193,RMX2193export_11_C.18_2022080816130136,、MY、PH,https://rms01.realme.net/sw/RMX2193export_11_C.18_2022080816130136.zip
realme narzo 20,206AF,RMX2193,RMX2193export_11_C.18_2022080103340219,、IN、ID、BD,https://rms01.realme.net/sw/RMX2193export_11_C.18_2022080103340219.zip
realme C12,206BB,RMX2189,RMX2189GDPR_11_C.13_2022070513360000,EU、TR,https://rms01.realme.net/sw/RMX2189GDPR_11_C.13_2022070513360000.zip
realme C12,206C6,RMX2189,RMX2189export_11_C.13_2022070513350000,TH,https://rms01.realme.net/SW/realme%20service/realme%20C12/206C6/RMX2189export_11_C.13_2022070513350000.7z
realme C12,206BB,RMX2189,RMX2189export_11_C.13_2022070513340000,、AU、PH、EG、VNR、MY、KH、MA、IQ、,https://rms01.realme.net/SW/realme%20service/realme%20C12/206BB/RMX2189export_11_C.13_2022070513340000.7z
realme C12,206B9,RMX2189,RMX2189export_11_C.13_2022070513330163,、IN、PK、BD、NP、LK、MM,https://rms01.realme.net/sw/RMX2189export_11_C.13_2022070513330163.zip
realme C12,206BB,RMX2189,RMX2189export_11_C.11_2022030922270000,AE、 KE、 PH、 SG、 KH、 MY、 MA、 AU、 SA、,https://rms01.realme.net/SW/realme%20service/realme%20C12/206BB/RMX2189export_11_C.11_2022030922270000.zip
realme C12,206B9,RMX2189,RMX2189export_11_C.11_2022030922260000,"、BD,、PK,、IN,、NP,、MM,、LK,、ID、IN",https://rms01.realme.net/SW/realme%20service/realme%20C12/206B9/RMX2189export_11_C.11_2022030922260000.zip
realme C12,206B9,RMX2189,RMX2189_11.C.13_1130_202207051333,、IN、ID、PK、BD、NP、MM、LK、KE、SA、TR,https://rms01.realme.net/SW/realme%20service/realme%20C12/206B9/RMX2189export_11_C.13_2022070513330163.7z
realme C11,206A1,RMX2185,RMX2185EU_11_A.78_220801_a30f16e5,、FR、ME、PL、CZ、SK、GR、HU、AT、BG、CY、RO、SI、SR、BA、MK、IN、NP、MM、BD、PK、SG、IO、UZ、MA、EG、AE、KH、AU、KE、VN,https://rms01.realme.net/sw/RMX2185EU_11_A.78_220801_a30f16e5.zip
realme C11/realme C15/realme C12,206A1,RMX2185EU,RMX2185EU_11_A.74_220401_a30f16e5,"、GRC,、HUN,、LUX,、SVN,、UA,、ES,、FR,、IT,、DE,、PL,、BE,、TR,、AUT,、RO,、SK,、BG,、HR,、CZ,、CY",https://rms01.realme.net/SW/realme%20service/realme%20C11/206A1/RMX2185EU_11_A.74_220401_a30f16e5.zip
realme C11/realme C15/realme C12,206A3/206A7/206BB,RMX2185/RMX2180/RMX2189,RMX2185EU_11_A.60_210414_93cb189a,、GRC、HUN、LUX、SVN、UA、ES、IT、DE、PL、BE、TR、AUT、PT、RO、SK、BG、HR、CZ、CY,https://rms01.realme.net/sw/RMX2185EU_11_A.60_210414_93cb189a.zip
realme C11/realme C15/realme C12,206A1/206A3/206A4/ 206A6/206A7/206A8/206B9/206BB/206C6/206BC,RMX2185/RMX2186/RMX2180/RMX2189/RMX2184/RMX2183,RMX2185_11_A.99_211021_a30f16e5,"、SG,、ID,、TH,、PH,、MY,、VN,、KH,、BD,、PK,、IN,、NP,、MM,、LK,、BA,、RU,、KZ,、SR,、BY,、MK,、ME,、UZ,、AE,、EG,、MA,阿尔及利亚、DZ,、KE,、IRO,、AU",https://rms01.realme.net/sw/RMX2185_11_A.99_211021_a30f16e5.zip
