营销名Marketing name,项目代码 、Project No.,机型名 Model,版本号Version NO.,适用范围/Region,链接、link
realme Pad(LTE),21697,RMP2102,MT8786_11.0_202306271121_user.zip,"EG,IN,UA,MY,PH,SG,TH",https://rms01.realme.net/sw/MT8786_11.0_202306271121_user.zip
realme GT NEO 3 150W,216E6,MT6895,MT6895_14_target_2330_2024052317040000.zip,EU,https://rms01.realme.net/sw/MT6895_14_target_2330_2024052317040000.zip
realme GT NEO 3 150W,216E6,MT6895,MT6895_14_target_2330_2024052317030095.zip,ID,https://rms01.realme.net/sw/MT6895_14_target_2330_2024052317030095.zip
realme GT NEO 3,216BF,MT6895,MT6895_14_target_2330_2024052017400000.zip,EU,https://rms01.realme.net/sw/MT6895_14_target_2330_2024052017400000.zip
realme 11 5G,23661,MT6835,MT6835_13_target_0600_2024051716100105.zip,MX,https://rms01.realme.net/sw/MT6835_13_target_0600_2024051716100105.zip
realme Pad 2 Lite,24695,RMP2402,MT6789_14_target_0300_2024101815480000.zip,"IN,PH,MY",https://rms01.realme.net/sw/MT6789_14_target_0300_2024101815480000.zip
realme 8,20732,RMX3085,MT6785_13_target_3130_2024082709540101.zip,EU,https://rms01.realme.net/sw/MT6785_13_target_3130_2024082709540101.zip
realme 8,20731,RMX3085,MT6785_13_target_3110_2024041912460000.zip,"EG,MA,TH,IQ,PH,VN,KH",https://rms01.realme.net/sw/MT6785_13_target_3110_2024041912460000.zip
realme 8,20732,RMX3085,MT6785_13_target_3110_2024041912450000.zip,UZ、KZ,https://rms01.realme.net/sw/MT6785_13_target_3110_2024041912450000.zip
realme 8,20730,RMX3085,MT6785_13_target_3110_2024041912440094.zip,"MM,NP,IN,PK,LK",https://rms01.realme.net/sw/MT6785_13_target_3110_2024041912440094.zip
"	
realme C21Y","	
2166C",RMX3262,"	
RMX3262_11_A.107_20230601174449",VN,https://rms01.realme.net/sw/RMX3261_11_A.107_20230601174449.zip
"	
realme C21Y",21669/2166A/2166B/2166D/216E3,"	
RMX3261","	
RMX3261_11_A.107_20230601174449","IN,LK,NP,MM,BD,PK,UA,KZ,RU,CL,PE,CO,BR,IL,IQ,UZ,SA,EG,AE,VN,ID,TH,MY,KH,PH",https://rms01.realme.net/sw/RMX3261_11_A.107_20230601174449.zip
