Model,Firmware Version,Link
OPPO A77 5G,CPH2337export_11_14.0.0.610EX01_2024052719240087,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/21/451c21f0750242dc8f6d2ec902199b54.zip
OPPO A77,CPH238522302export_11_14.0.0.630EX01_2024060516070000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/03/b7c2c82d67bc43d8be2e724c8dc6d8da.zip
OPPO A77,CPH2385export_11_14.0.0.630EX01_2024053017150000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/02/b3e65b0575a544a5befbd6a7ea5a0f97.zip
OPPO A76,CPH2333export_11_F.64_2023081023080110,https://dfs-serverauto-in.allawnofs.com/dfs/23/09/08/051462f603784d5485bd29616cf9acb4.zip
OPPO A76,CPH2373export_11_F.64_2023081023090106,https://dfs-serverauto-in.allawnofs.com/dfs/23/09/08/951f1e213b274e9db34a0f246c7f420e.zip
OPPO A76,CPH2375export_11_F.71_2024070319550000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/05/d0664f2f2caf4d8ea61935411cfe665b.zip
OPPO A76,CPH2375export_11_F.70_2024050720590000,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/03/d29e1cbd145c4739adb44794379b8b2d.zip
OPPO A74 5G,CPH2263export_11_F.67_2024081314310094,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/29/8702f58110bc4fd68c4c3e9eb6cc30c5.zip
OPPO A74 5G,CPH2263export_11_F.66_2024050810170000,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/30/6eb7ed800d9c454f8434a654841acd61.zip
OPPO A71L,CPH1801_11_A.26_200702,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/08/a95bfd049fce490a8a2bca804d84630e.zip
OPPO A71,CPH1717EX_11_A.28_200701,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/09/f83b246d494e41478e8b025db644f701.zip
OPPO A7,CPH1901EX_11_A.22_210306,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/09/26729d3d3c9f4984b09903a28745daed.zip
OPPO A5s,CPH1909EX_11_A.46_210319,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/09/199c20febe3041f79a33a6a480e71ffb.zip
OPPO A59 5G,CPH2617export_11_14.0.0.1101EX01_2024082416280102,https://dfs-serverauto-in.allawnofs.com/dfs/24/09/02/815bc4e5da184dac9bb9669090bbba2e.zip
OPPO A59 5G,CPH2617export_11_14.0.0.800EX01_2024061422480079,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/15/8cc312a6249c46328f464c2604dccc0a.zip
OPPO A58,CPH2577export_11_14.0.0.900EX01_2024070601560000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/06/4232edf662374634b2584ae6e4ed8e2c.zip
OPPO A58,CPH2577export_11_14.0.0.700EX01_2024052109070000,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/28/d8b281b133e647958c16a09a1d9c6762.zip
OPPO A77/OPPO A57,CPH238522302export_11_14.0.0.1110EX01_2024081212180000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/29/6bc27c630c9440d196a1102b88859ad8.zip
OPPO A57,CPH238722304export_11_14.0.0.630EX01_2024060516060101,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/03/3892c344da5541da84f850faaa674419.zip
OPPO A57,CPH2387export_11_14.0.0.630EX01_2024053017030000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/02/05f6f16513b94deba79407f6106f72e8.zip
OPPO A55,CPH2325export_11_F.69_2024070922510000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/09/f5b326cf187b4ec5a3e488c303e4516c.zip
OPPO A55,CPH2325export_11_F.68_2024042921480099,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/27/c2a08bcd80ce4bc893e5246ddf12ded9.zip
OPPO A54,CPH2239export_11_C.33_2024061316490091,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/06/e0f9d84c67b54870807fb161f1b33a59.zip
OPPO A54,CPH2239export_11_C.32_2024012915080097,https://dfs-serverauto-in.allawnofs.com/dfs/24/03/21/a6ce7f9b36ec4a56a2529a93a26918af.zip
OPPO A53s 5G,CPH2321export_11_F.35_2024013017420000,https://dfs-serverauto-in.allawnofs.com/dfs/24/02/29/ecab8fd886e248069623a15e40dd70de.zip
OPPO A53s 5G,CPH2321export_11_F.34_2023113013180106,https://dfs-serverauto-in.allawnofs.com/dfs/23/12/28/7241c934f7794c21b74175f84d3d1230.zip
OPPO A53,CPH2127export_11_F.97_2024040318120000,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/17/05de1db8b3bc4bbf9f6f0d1ebf569698.zip
OPPO A53,CPH2139export_11_F.97_2024040318110000,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/17/df8ba91e1cc24736951c0dd7eead81b1.zip
OPPO A53,CPH2127export_11_F.96_2024010817280126,https://dfs-serverauto-in.allawnofs.com/dfs/24/02/19/29e5078d582b4b6fbe3b195a00674e48.zip
OPPO A53,CPH2139export_11_F.96_2024010817240120,https://dfs-serverauto-in.allawnofs.com/dfs/24/02/19/696fbb29200845998fea218651bf2c47.zip
OPPO A52,CPH2061export_11_C.49_2024070608280000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/13/88bd0c132d1c43428440d0f11e505007.zip
OPPO A52,CPH2061export_11_C.48_2024032917350117,https://dfs-serverauto-in.allawnofs.com/dfs/24/04/22/7a6425a61bc84028a32be4d4b703cc7d.zip
OPPO A5 2020,CPH1931EX_11.C.80_211226_34aba340,https://dfs-serverauto-in.allawnofs.com/dfs/24/04/11/793377f8eddc465aafeb16bbfba55ca7.zip
OPPO A12e/OPPO A5,CPH1853_11_A.39_201227,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/09/7cc4555991644f8ab04a2085a2fc6b3b.zip
OPPO A3x 5G,CPH2681export_11_14.0.1.924EX01_2024080921030000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/12/c6817cb9de3a46208d201f8cc1c938f3.zip
OPPO A3x 5G,CPH2681export_11_14.0.1.920EX01_2024072502440116,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/30/642bbd3907da4d1eb49ad1e8bec9a554.zip
OPPO A3x,CPH2641export_11_14.0.1.826EX01_2024082403430182,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/28/e577db34093f49a38b68720e9a038796.zip
OPPO A3s,CPH1803EX_11_A.34_210122,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/09/a259742d3aad4e31a52f2e41117f1e75.zip
OPPO A38,CPH2579export_11_14.0.0.930EX01_2024082216080000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/31/e0577dba91f64b3b85eada03b7ae3037.zip
OPPO A38,CPH2579export_11_14.0.0.930EX01_2024082216030000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/31/bef1dce11075486093faa17713fc23ac.zip
OPPO A33,CPH2137PU_11_A.26_230227,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/09/996070177ccd4694902072acb4a41837.zip
OPPO A31,CPH2015EX_11_A.59_211115,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/09/b2f86050503d40b28a7063f98eed11b1.zip
OPPO A3 Pro 5G,CPH2665export_11_14.0.1.735EX01_2024081517090000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/23/fcf4afe4fc7d4f6ab2abd0867c953213.zip
OPPO A3 5G/OPPO A3 Pro 5G,CPH2665export_11_14.0.1.730EX01_2024070611140000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/25/576f97b44ee348d791b0785b40c3e36d.zip
OPPO A3 5G,CPH2665export_11_14.0.1.730EX01_2024070611140000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/25/576f97b44ee348d791b0785b40c3e36d.zip
OPPO A3 5G,CPH2693export_11_14.0.1.924EX01_2024080921020105,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/12/60f281cba1e948eb9390177a498aae1b.zip
OPPO A3 5G,CPH2693export_11_14.0.1.920EX01_2024072502450000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/29/f0bad0a92ea74ca699829f0b7736770c.zip
OPPO A18,CPH2591export_11_14.0.0.930EX01_2024082216070000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/31/23e008b0ca1c4c888ef1aeafeb1bea72.zip
OPPO A18,CPH2591export_11_14.0.0.910EX01_2024070617110000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/26/f7f92fbf4a954968accca64422bd68dc.zip
OPPO A17k,CPH2471export_11_A.45_2024080811180000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/31/44ba292fe586475f9a5a083040f0b79c.zip
OPPO A17k,CPH2471export_11_A.38_2023101616020124,https://dfs-serverauto-in.allawnofs.com/dfs/23/11/21/55cf410233904bb3957375ea6d1323a4.zip
OPPO A17k/OPPO A17,CPH2471export_11_A.44_2024072617560111,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/05/8b53a012373f47d797d2f0f0e988d1bb.zip
OPPO A17,CPH2477export_11_A.45_2024080811200000,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/31/544f7b046011447aa8e4a721e9c73723.zip
OPPO A17,CPH2477export_11_A.38_2023101616080124,https://dfs-serverauto-in.allawnofs.com/dfs/23/11/21/a517d366e81143bf8cc23f04fcd0bbd8.zip
